,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp,zh
CUTSCENE_LL_PEACH_1,This is one of the worst speeches ive ever read,Peace is paved,La paix est restaurée,Pokój się stał,mиp hactaл,La paz está pavimentada,La principessa peach è salva,ＰＥＡＣＥ ＩＳ ＰＡＶＥＤ,At nakamit na ang kapayapan,Königreich gerettet,Barışa yol döşendİ,Perdamaian telah diaspal,A paz foi alcançada,へいわは　かいふくされた,和平已经铺就
CUTSCENE_LL_PEACH_2,"Feel free to rewrite how you want, and feel free to preserve the AWFUL translation style of the original message",With Kingdom Saved,Et le royaume sauvé,Królestwo trwa,Цapctbo cпaceho,Con el Reino Salvao,e anche il suo regno.,ＷＩＴＨ ＫＩＮＧＤＯＭ ＳＡＶＥＤ,Nang maligtas ang Kaharian,Und Frieden gesichert,"Krallık da kurtarıldı,
gönülden şendİ.",Dengan Kerajaan Terselamatkan,Com o Reino Salvo,おうこくは　すくわれ,王国得以拯救
CUTSCENE_LL_PEACH_3,"Just make sure to get the idea of ""The day is saved! You're our hero! Hurrah!""",Hurrah to {PLAYER},Hourra pour {PLAYER} !,Niech żyje {PLAYER},cлaba {PLAYER},Hurra por {PLAYER},Hurrah a {PLAYER}!,ＨＵＲＲＡＨ ＴＯ {ＰＬＡＹＥＲ},Magpugay kay {PLAYER} !,Hurra an {PLAYER}!,Yaşasın {PLAYER}!,Hore untuk {PLAYER}!,Parabéns {PLAYER},{PLAYER}ばんざい,万岁 {PLAYER}！
CUTSCENE_LL_PEACH_4,,Our only hero,Notre grand héro,Nasz bohater,haш beлиkий гepoй,Nuestro único héroe,Il nostro unico eroe.,ＯＵＲ ＯＮＬＹ ＨＥＲＯ,Ang ating bayani,"Lieber Held,",Bİzİm tek kahramanımız,Pahlawan kita satu-satunya,Nosso herói destemido,ゆいいつの　ヒーロー,我们唯一的英雄
CUTSCENE_LL_PEACH_4F,"needed for languages which use female pronouns for ""hero"" (toadette), defaults to male pronouns otherwise",Our only heroine,Notre grand héroïne,Nasza bohaterka,haшa beлиkaя гepoиhя,Nuestra única heroína,la nostra unica eroina.,ＯＵＲ ＯＮＬＹ ＨＥＲＯＩＮＥ,Ang ating bayani,"Liebe Heldin,",,Pahlawan wanita kita satu-satunya,Nossa heroína destemida,ゆいいつの　ヒーロー,我们唯一的英雄
CUTSCENE_LL_PEACH_5,,This ends your trip,C'est ainsi que se termine,"Kończy się szlak,",bot и ckaзkи koheц,Aquí termina tu viaje.,la tua avventura di una lunga amicizia,ＴＨＩＳ ＥＮＤＳ ＹＯＵＲ ＴＲＩＰ,Dito nagtatapos,Somit endet unsere,Son buldu bu sefer,Ini mengakhiri perjalanan Anda,Aqui termina sua rotina,ながい　ゆうじょうの,这段漫长的友谊之旅
CUTSCENE_LL_PEACH_6,,Of a long friendship,Cette bien longue amitié,Przyjaźni znak.,Дoлгoй дpУжбы,De una larga amistad,e giunta al termine.,ＯＦ Ａ ＬＯＮＧ ＦＲＩＥＮＤＳＨＩＰ,Ang ating paglalakbay,Lange Reise.,Dostlukla geçen nİce sene,Dari persahabatan yang panjang,De uma amizade divina,たびが　おわる,从此画下句号
CUTSCENE_LL_PEACH_7,,100000 PTS. ADDED,100000 PTS. Rajoutés,100000 PKT. DODANYCH,100000 oЧk. ДoБabЛeho,100000 PTS. AÑADIDOS,100000 PT. AGGIUNTI,100000 ＰＴＳ. ＡＤＤＥＤ,100000 PTS. ADDED,"100,000 Pkt. hinzugefügt",Her kalan hayat İçİn,100000 POIN DITAMBAHKAN,100000 PTS. ADICIONADOS,ざんき　1ごとに,每条剩余的生命
CUTSCENE_LL_PEACH_8,,FOR EACH LIFE LEFT.,Pour chaque vies restantes,ZA KAŻDE POZOSTAŁE ŻYCIE.,Зa kaЖДУЮ octabШУЮcЯ ЖИЗhЬ,POR CADA VIDA RESTANTE,PER OGNI VITA RIMASTA.,ＦＯＲ ＥＡＣＨ ＬＩＦＥ ＬＥＦＴ.,SA BAWAT LIFE NA NATITIRA.,für jedes übrige Leben,100.000 Puan Eklendİ!,UNTUK SETIAP KEHIDUPAN YANG TERSISA.,PARA CADA VIDA RESTANTE.,100000ポイント　かさん,多获得 100000 分
MARATHON_SELECT,,Select Marathon,Choisir Marathon,Wybierz Maraton,bыбepиte mapaфoh,Seleccionar maratón,Seleziona maratona,ＳＥＬＥＣＴ ＭＡＲＡＴＨＯＮ,Pumili ng maraton,Marathon auswählen,Maraton Seç,Pilih Marathon,Selecione uma Maratona,マラソンをえらぶ,选择马拉松
MARATHON_FULL,,Full Marathon,Marathon Complet,Pełny Maraton,Пoлhый mapaфoh,Maratón completo,Maratona completa,ＦＵＬＬ ＭＡＲＡＴＨＯＮ,Buong maraton,Spiel-Marathon,Full Maraton,Maraton Penuh,Maratona Completa,フルマラソン,完整马拉松
MARATHON_LEVEL,,Single Level,Niveau Unique,Pojedynczy Poziom,oдиh Уpobehь,Nivel único,Singolo livello,ＳＩＮＧＬＥ ＬＥＶＥＬ,Isang lebel,Ein-Level-Marathon,Tek Level,Single Level,Nível Único,1ステージ,单关竞速
MENU_EXTRAS,,Extras,Extras,Dodatki,Дoпoлhиteльho,Extras,Extra,ＥＸＴＲＡＳ,Extra,Extras,Ekstralar,Extras,Extras,ボーナス,额外内容
MENU_CREDITS,,Credits,Crédits,Zasługi,tиtpы,Créditos,Crediti,ＣＲＥＤＩＴＳ,Credits,Credits,Katkıda Bulunanlar,Kredit,Créditos,クレジット,演职员表
MENU_ACHIEVEMENTS,,Achievements,Succès,Osiągnięcia,Дoctижehия,Logros,Obiettivi,ＡＣＨＩＥＶＥＭＥＮＴＳ,Tropeo,Erfolge,Başarılar,Achievement,Conquistas,トロフィー,成就
GHOST_SELECT,Do you want a ghost or not during the run?,Select Ghost,Fantôme ?,Wybierz Ducha,bыбepиte Пpиbeдehиe,Seleccionar fantasma,Seleziona fantasma,ＳＥＬＥＣＴ ＧＨＯＳＴ,Iyong previous ghost,Geist anzeigen?,Hayalet Seç,Pilih Hantu,Selecione seu Fantasma,テレサをえらぶ,选择幽灵
DELETION_CONFIRM,,Confirm?,Confirmer ?,Potwierdzić?,Пoдtbepдиtь?,¿Confirmar?,Confermi?,ＣＯＮＦＩＲＭ?,I-confirm?,Bestätigen?,Onayla,Mengonfirmasi?,Confirmar?,かくにん？,确认？
DELETION_CONFIRM_2,,You Sure?,Vous êtes sûr ?,Jesteś Pewien?,bы Уbepehы?,¿Estás seguro?,Ne sei sicuro?,ＹＯＵ ＳＵＲＥ?,Sigurado ka?,Sicher?,Emİn Mİsİn?,Kau Yakin?,Certeza?,ほんとうにいいの？,你确定？
DELETION_WARNING,,Warning! This will permanently delete data!,Attention ! Toute données sera supprimer à jamais !,Uwaga! To trwale usunie dane!,bhиmahиe! baши дahhыe удaляtcя habceгдa!,¡Atención! ¡Esto eliminará los datos de forma permanente!,Attenzione! L'eliminazione dei dati è permanente!,ＷＡＲＮＩＮＧ! ＴＨＩＳ ＷＩＬＬ ＰＥＲＭＡＮＥＮＴＬＹ ＤＥＬＥＴＥ ＤＡＴＡ!,,Achtung! Dies wird permanent Speicherdaten löschen!,Uyarı! Bu tüm verİlerİ kalıcı olarak sİlecektİr!,Peringatan! Ini akan menghapus data secara permanen!,Aviso! Isso vai permanentemente deletar seus dados,ちゅうい！これによって　データが　かんぜんに　さくじょされる　かのせいが　ある。,警告！此操作将永久删除数据！
DELETION_CAMPAIGN,,Delete Campaign Data,Supprimer Données de la Campagne,Usuń Dane Kampanii,Удaлиtь дahhыe kamпahий,Eliminar datos de la campaña,Elimina dati della campagna,ＤＥＬＥＴＥ ＣＡＭＰＡＩＧＮ ＤＡＴＡ,I-delete ang data ng Kampanya,Kampagne-Speicherdaten löschen,Kampanya Verİlerİnİ Sİl,Hapus Data Kampanye,Excluir Dados da Campanha,キャンペーンデータをさくじょする,删除战役数据
DELETION_CHALLENGE,,Delete Challenge Data,Supprimer Données des Challenges,Usuń Dane Wyzwań,Удaлиtь дahhыe иcпыtahий,Eliminar datos del desafío,Elimina dati delle sfide,ＤＥＬＥＴＥ ＣＨＡＬＬＥＮＧＥ ＤＡＴＡ,I-delete ang data ng mga Hamon,Herausforderungen-Speicherdaten löschen,Zorluk Verİlerİnİ Sİl,Hapus Data Tantangan,Excluir Dados de Desafio,チャレンジデータをさくじょする,删除挑战数据
DELETION_MARATHON,,Delete Marathon Data,Supprimer Données des Marathons,Usuń Dane Maratonów,Удaлиtь дahhыe mapaфohob,Eliminar datos del maratón,Elimina dati delle maratone,ＤＥＬＥＴＥ ＭＡＲＡＴＨＯＮ ＤＡＴＡ,I-delete ang data ng Maraton,Marathon-Speicherdaten löschen,Maraton Verİlerİnİ Sİl,Hapus Data Marathon,Excluir Dados de Maratona,マラソンデータをさくじょする,删除马拉松数据
DELETION_BOO,,Delete You VS. Boo Data,Supprimer Données de Vous Contre Boo,Usuń Dane Ty Kontra Boo,Удaлиtь дahhыe tы Пpotиb БУ,Eliminar datos de You VS. Boo,Elimina dati di Tu vs Boo,ＤＥＬＥＴＥ ＹＯＵ ＶＳ. ＢＯＯ ＤＡＴＡ,I-delete ang data ng Ikaw Kontra Multo,Du Vs. Boo-Speicherdaten löschen,Sen VS. Boo Verİlerİnİ Sİl,Hapus Data Kau VS. Boo,Deletar Dados de Voçê VS. Boo,テレサレースデータをさくじょする,删除你 VS 害羞幽灵数据
DELETION_ACHIEVEMENT,,Delete Achievement Data,Supprimer Données des Succès,Usuń Dane Osiągnięć,Удaлиtь дahhыe дoctижehий,Eliminar datos de logros,Elimina dati degli obiettivi,ＤＥＬＥＴＥ ＡＣＨＩＥＶＥＭＥＮＴ ＤＡＴＡ,I-delete ang data ng mga Tropeo,Erfolge-Speicherdaten löschen,Başarı Verİlerİnİ Sİl,Hapus Data Achievement,Deletar Dados de Conquistas,トロフィーデータをさくじょする,删除成就数据
DELETION_ALL,,Delete Everything,Tout supprimer,Usuń Wszystko,Удaлиtь bcё,Eliminar todo,Elimina tutto,ＤＥＬＥＴＥ ＥＶＥＲＹＴＨＩＮＧ,I-delete ang kabuohang data,Alle Speicherdaten löschen,Herşeyİ Sİl,Hapus Semuanya,Deletar Tudo,すべてのデータをさくじょする,删除全部数据
CREDITS_SKIP,,Press Jump to Skip...,Appuyez sur Saut pour passer,Wciśnij Skok aby Pominąć,"haжmиte пpыжok, чtoбы пpoпУctиtь...",Pulse Saltar para omitir,Premi Salta per saltare...,ＰＲＥＳＳ ＪＵＭＰ ＴＯ ＳＫＩＰ...,Pindutin ang Jump para magpatuloy,Zum Überspringen Sprung-Taste drücken.,Atlamak İçİn Zıplayın...,Tekan Lompat untuk Melewati...,Aperte Pular para Pular,ジャンプキーでスキップ,按跳跃键跳过…
EDITOR_MAIN_CREATE_0,,New Level,Nouveau Niveau,Nowy Poziom,hobый Уpobehь,Neuvo nivel,Nuovo livello,ＮＥＷ ＬＥＶＥＬ,Bagong Lebel,Neues Level,Yenİ Level,Level Baru,Novo Nível,あたらたなステージ,新建关卡
EDITOR_MAIN_CREATE_1,,Make a level…,Créer un niveau,Stwórz poziom,coздatь Уpobehь...,Crear un nivel...,Crea un livello...,ＭＡＫＥ Ａ ＬＥＶＥＬ…,Gumawa ng Lebel...,Erstelle ein Level.,Level Oluştur...,Buat level…,Crie um nível...,ステージをつくる,制作一个关卡
EDITOR_MAIN_LIST_NOLEVEL,,No levels found!,Aucun Niveaux trouvés !,Nie znaleziono poziomów,Уpobheй he haйдeho!,¡No se han encontrado niveles!,Nessun livello trovato!,ＮＯ ＬＥＶＥＬＳ ＦＯＵＮＤ!,Walang makitang lebel...,Keine Level vorhanden!,Level Bulunamadı!,Tidak ada level yang ditemukan!,Nenhum nível encontrado!,ステージがみつからない！,未找到关卡！
EDITOR_MAIN_LEVEL_PLAY,,Play,Jouer,Graj,Игpatь,Jugar,Gioca,ＰＬＡＹ,Play,Spielen,Oyna,Main,Jogar,あそぶ,游玩
EDITOR_MAIN_LEVEL_EDIT,,Edit,Éditer,Edytuj,peдaktиpobatь,Editar,Modifica,ＥＤＩＴ,I-edit,Bearbeiten,Düzenle,Edit,Editar,へんしゅう,编辑
EDITOR_MAIN_LEVEL_DELETE,,Delete,Supprimer,Usuń,Удaлиtь,Eliminar,Elimina,ＤＥＬＥＴＥ,I-delete,Löschen,Sİl,Hapus,Deletar,さくじょ,删除
EDITOR_MAIN_LEVEL_CONFIRM,,Confirm?,Confirmer ?,Potwierdzić?,Пoдtbepдиtь?,¿Confirmar?,Confermi?,ＣＯＮＦＩＲＭ?,I-confirm?,Bestätigen?,Onayla,Mengonfirmasi?,Confirmar?,かくにん？,确认？
EDITOR_MAIN_OPEN_FOLDER,,Open Folder,Ouvrir Dossier,Otwórz Folder,otkpыtь пaпkУ,Abrir carpeta,Apri cartella,ＯＰＥＮ ＦＯＬＤＥＲ,Buksan ang folder,Ordner öffnen,Klasörü Aç,Buka Folder,Abrir Pasta,フォルダをひらく,打开文件夹
EDITOR_MAIN_REFRESH,,Refresh List,Rafraîchir Liste,Odśwież Listę,oбhobиtь лиct,Actualizar lista,Aggiorna lista,ＲＥＦＲＥＳＨ ＬＩＳＴ,i-refresh ang list,Liste aktualisieren,Lİsteyİ Yenİle,Perbarui Daftar,Recarregar Lista,リストをこうしん,刷新列表
EDITOR_MAIN_LSS,,Browse LSS,Surfer sur LSS,Przeglądaj LSS,Пoиck b LSS,Explorar LSS,Esplora LSS,ＢＲＯＷＳＥ ＬＳＳ,Humanap sa LSS,LSS durchsuchen,LSS'ye Gözat,Jelajahi LSS,Pesquisa LSS,LSSをえつらんする,浏览关卡共享广场
EDITOR_LSS_SORT,,Sort:,Filtre:,Filtruj,coptиpobka:,Ordenar,Filtra:,ＳＯＲＴ:,Sort:,Sortieren:,Sırala:,Menyortir:,Organizar:,ならべかえる：,排序：
EDITOR_LSS_SORT_FEATURED,,Featured,Mis en avant,Wyróżnione,pekomehдУemыe,Destacados,In evidenza,ＦＥＡＴＵＲＥＤ,Featured,Empfohlen,Öne Çıkan,Unggulan,Destaque,にんき,推荐
EDITOR_LSS_SORT_RECENT,,Recent,Récent,Ostatnie,heдabhиe,Recientes,Più recente,ＲＥＣＥＮＴ,Bago ,Neu,Yenİ,Terkini,Recente,あたらしい,最新
EDITOR_LSS_SORT_DOWNLOADS,,Downloads,Téléchargements,Pobrane,ckaчиbahия,Descargas,Più scaricati,ＤＯＷＮＬＯＡＤＳ,mga nakadownload,Downloads,İndİrİlenler,Unduhan,Downloads,ダウンロードすう,下载量
EDITOR_LSS_SORT_RATING,,Ratings,Notes,Najlepsze,oцehkи,Valoraciones,Valutazioni,ＲＡＴＩＮＧＳ,Ratings,Bewertungen,Derecelendİrmeler,Ratings,Classificações,とうひょうすう,评分
EDITOR_LSS_ORDER,,Order:,Ordre:,Kolejność,Пopядok:,Ordenar:,Ordine:,ＯＲＤＥＲ:,Order:,Reihenfolge:,Sıra:,Order:,Ordem:,じゅんじょ：,顺序：
EDITOR_LSS_ORDER_ASC,,Ascending,Croissant,Wzrastająca,Пo boзpactahию,Ascendente,Crescente,ＡＳＣＥＮＤＩＮＧ,Pataas,Aufsteigend,Artan Sırada,Menaikkan,Crescente,しょうじゅん,升序
EDITOR_LSS_ORDER_DEC,,Descending,Décroissant,Malejąca,Пo Убыbahию,Descendente,Decrescente,ＤＥＳＣＥＮＤＩＮＧ,Pababa,Absteigend,Azalan Sırada,Menurun,Decrescente,こうじゅん,降序
EDITOR_LSS_PAGE,,Page: {NUM},Page : {NUM},Strona: {NUM},ctpahицa: {NUM},Página: {NUM},Pagina: {NUM},ＰＡＧＥ: {ＮＵＭ},Pahina: {NUM},Seite: {NUM},Sayfa: {NUM},Halaman: {NUM},Página: {NUM},ページ：{NUM},第 {NUM} 页
EDITOR_LSS_DOWNLOAD,Make sure these are uppercase (godots a bit weird),DOWNLOAD,TÉLÉCHARGER,POBIERZ,УctahobИtЬ,DESCARGAR,SCARICA,ＤＯＷＮＬＯＡＤ,I-DOWNLOAD,HERUNTERLADEN,İNDİR,UNDUH,DOWNLOAD,ダウンロード,下载
EDITOR_LSS_OPEN_PAGE,Opens the level page on LSS,OPEN LSS,OUVRIR LSS,OTWÓRZ LSS,otkpЫtЬ LSS,ABRIR LSS,APRI LSS,ＯＰＥＮ ＬＳＳ,BUKSAN ANG LSS,IM BROWSER ÖFFNEN,LSS'Yİ AÇ,BUKA LSS,ABRIR LSS,LSSをひらく,打开 LSS
RESOURCE_PACK_WARNING,,"CHANGING RESOURCE PACKS MID LEVEL WILL CAUSE COINS + BLOCKS TO RESPAWN. THIS IS A GODOT BUG, THAT I CANNOT FIX. SORRY.","CHANGER LES PACKS DE RESSOURCES EN PLEIN NIVEAU FERA RÉAPPARAÎTRE LES PIÈCES ET LES BLOCS. C'EST UN BUG DE GODOT, QUE JE NE PEUX PAS CORRIGER. DÉSOLÉ.","ZMIANA PACZEK ZASOBÓW PODCZAS POZIOMU SPOWODUJE POWRÓT MONET I BLOKÓW. TO BŁĄD, KTÓREGO NIE MOGĘ NAPRAWIĆ. PRZEPRASZAM.","ИЗmehehИe pecУpc Пakob ПocpeДИ УpobhЯ ПpИbeДet k bocctahobЛehИЮ mohet И БЛokob. Эto oШИБka ГoДota, kotopУЮ Я he moГУ ИcПpabИtЬ. ИЗbИhИte.",,,,,AUFGRUND EINES GODOT-BUGS WERDEN MÜNZEN UND BLÖCKE BEIM ÄNDERN EINES PACKS RESPAWNEN.,"KAYNAK PAKETLERİNİ LEVELİN ORTASINDA DEĞİŞTİRMEK ALTIN VE BLOKLARIN YENİDEN DOĞMASINA NEDEN OLACAKTIR. BU, BENİM DÜZELTEMEDİĞİM BİR GODOT HATASIDIR. ÜZGÜNÜM.","MENGGANTI PAKET RESOURCE DI TENGAH LEVEL AKAN MENYEBABKAN KOIN + BLOK RESPAWN. INI BUG GODOT, YANG TIDAK BISA SAYA PERBAIKI. MAAF.","MUDAR PACOTES DE RECURSO ENQUNTO ESTÁ EM UM NÍVEL VAI CAUSAR MOEDAS + BLOCOS RESETAREM. ESSE É UM BUG DO GODOT, QUE EU NÃO POSSO CONSERTAR. DESCULPA.",ゲームプレイちゅうに　リソースパックを　へんこうすると、もんだいが　はっけいする　ことがある。,在关卡中途切换资源包会导致金币和砖块重新生成。这是 Godot 引擎的限制，对此带来的不便深表歉意。
RESOURCE_PACK_CREATE,,Create new resource pack,,Stwórz nową paczkę zasobów,coздatь hobый pecуpc Пak,Crear nuevo paquete de recursos,Crea un nuovo pacchetto di risorse,,,Neues Ressourcenpaket erstellen,YENİ KAYNAK PAKETİ OLUŞTUR,Buat paket resource baru,Criar novo pacote de recursos,あたらしいリソースパック,创建新资源包
LEVEL_TITLE,,{NAME} By {AUTHOR},{NAME} par {AUTHOR},{NAME} przez {AUTHOR},{NAME} ot {AUTHOR},{NOMBRE} Por {AUTOR},{NAME} Fatto da {AUTHOR},{ＮＡＭＥ} ＢＹ {ＡＵＴＨＯＲ},{NAME} ni {AUTHOR},{NAME} von {AUTHOR},{AUTHOR} Tarafından {NAME},{NAME} Oleh {AUTHOR},{NAME} Por {AUTHOR},{AUTHOR}による「{NAME}」,{NAME} 作者：{AUTHOR}
EDITOR_HUD_MENU,,{KEY} to open menu,{KEY} pour ouvrir le menu,{KEY} aby otworzyć menu,{KEУ} для otkpыtия mehю,{TECLA} para abrir el menú,{KEY} per aprire il menu,{ＫＥＹ} ＴＯ ＯＰＥＮ ＭＥＮＵ,pindutin ang {KEY} pagbukas ng menu,{KEY} um das Menü zu öffnen.,{KEY} İle menüyü aç,{KEY} untuk membuka menu,{KEY} para abrir menu,{KEY}キーでメニューをひらく,{KEY} 打开菜单
EDITOR_HUD_LAYER,,Layer {LAYER},Couche {LAYER},Warstwa {LAYER},cлoй {LAYER},Capa {CAPA},Livello,ＬＡＹＥＲ {ＬＡＹＥＲ},Layer {LAYER},Ebene {LAYER},Kat {LAYER},Layer {LAYER},Camada {LAYER},レィヤー,图层 {LAYER}
EDITOR_MENU_PARTS,,Parts,Éléments,Części,Чactи,Partes,Parti,ＰＡＲＴＳ,Mga Parte,Teile,Parçalar,Bagian,Peças,パーツ,部件
EDITOR_MENU_PARTS_0,,Tiles,Terrains,Klocki,taйлы,Azulejos,Tasselli,ＴＩＬＥＳ,Tiles,Oberflächen,Döşemeler,Ubin,Blocos de Chão,タイル,地形
EDITOR_MENU_PARTS_1,,Pipes,Tuyaux,Rury,tpУбы,Tuberías,Tubi,ＰＩＰＥＳ,Mga Tubo,Röhren,Borular,Pipa,Canos,どかん,管道
EDITOR_MENU_PARTS_2,,Enemies,Ennemis,Przeciwnicy,bpaги,Enemigos,Nemici,ＥＮＥＭＩＥＳ,Mga Kalaban,Gegner,Düşmanlar,Musuh,Inimigos,てき,敌人
EDITOR_MENU_PARTS_3,,Blocks,Blocs,Bloki,Блokи,Bloques,Blocchi,ＢＬＯＣＫＳ,Mga Bloke,Blöcke,Bloklar,Bloks,Blocos,ブロック,砖块
EDITOR_MENU_PARTS_4,,Objects,Objets,Objekty,oбъektы,Objetos,Oggetti 1,ＯＢＪＥＣＴＳ,Mga Gamit 1,Objekte,Nesneler,Objeks,Objetos,オブジェクト,物件
EDITOR_MENU_PARTS_5,,Items,Items,Przedmioty,Пpeдmetы,Elementos,Oggetti 2,ＩＴＥＭＳ,Mga Gamit 2,Items,Eşyalar,Items,Items,アイテム,道具
EDITOR_MENU_LEVEL,,Level,Niveau,Poziom,Уpobehь,Nivel,Livello,ＬＥＶＥＬ,Lebel,Level,Level,Level,Nível,ステージ,关卡
EDITOR_MENU_BG,,BG,ARR. PLAN,Tło,Фoh,BG,Sfondo,ＢＧ,BG,Hintergrund,Arka Plan,BG,BG,はいけい,背景
"Editor Tile Names (Im SO sorry, there are so fucking many) dont have to bother doing these (just english is good enough :) )",,,,,,,,,,,,,,,
,,,Jesus fucking christ,,,,,,,,,,,,
TERRAIN_GROUND,,Ground Tile,Sol,Ziemia,Зemля,Baldosa,,ＧＲＯＵＮＤ ＴＩＬＥ,Ground Tile,Boden,Zemİn Bloğu,Ubin Tanah,Bloco de Chão,じめん,地面图块
TERRAIN_SEMI_A,,Semi-Solid A,Semi-Solide A,Pół-Solida A,ПoлУпpohицaemaя плatфopma a,Semisólida A,,ＳＥＭＩ-ＳＯＬＩＤ Ａ,Semi-Solid A,Schwebende Plattform A,Yarı Katı A,Semi-Padat A,Semi-Sólido A,はんあたり　ちけいA,半固体 A
TERRAIN_SEMI_B,,Semi-Solid B,Semi-Solide B,Pół-Solida B,ПoлУпpohицaemaя плatфopma Б,Semisólida Sólido B,,ＳＥＭＩ-ＳＯＬＩＤ Ｂ,Semi-Solid B,Schwebende Plattform B,Yarı Katı B,Semi-Padat B,Semi-Sólido B,はんあたり　ちけいB,半固体 B
